PLAYER,POSITION,TEAM,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,PROJ PTS,ADP,2QB RANK
Allen Hurns,WR,Dal,0,0,0,0,0,0,56.8,763.9,4.5,160.3,122.5,134.0
David Njoku,TE,Cle,0,0,0,0,0,0,44.7,519,5.2,127.9,112.2,135.0
Nelson Agholor,WR,Phi,0,0,0,8.4,49.8,0.2,60.2,710.1,4.9,166.9,119.2,136.0
Jordy Nelson,WR,Oak,0,0,0,3.6,22.5,0.1,68.2,805.1,5.5,184.9,101.6,137.0
George Kittle,TE,SF,0,0,0,0,0,0,46.9,530.6,4,123.9,134.4,141.0
Chris Carson,RB,Sea,0,0,0,166.5,679.9,4.2,22,176.6,0.9,137.3,124.7,142.0
Doug Martin,RB,Oak,0,0,0,105.4,388.2,2.9,21.7,174.1,0.6,99,170.0,143.0
Sterling Shepard,WR,NYG,0,0,0,4.2,26.2,0.1,71.4,824,5.2,188.2,103.2,144.0
LeGarrette Blount,RB,Det,0,0,0,109.7,470.1,3.8,6.5,50.9,0.3,82.7,129.7,146.0
Greg Zuerlein,K,LAR,0,0,0,0,0,0,0,0,0,147.7,102.4,147.0
Cameron Meredith,WR,NO,0,0,0,0,0,0,52.1,671.2,4.1,143.5,132.8,148.0
Calvin Ridley,WR,Atl,0,0,0,0,0,0,48.8,611.2,3.7,132,132.3,149.0
Sam Bradford,QB,Ari,1831.4,9.3,4,12.6,28.5,0.3,0,0,0,106.4,,150.0
Joe Flacco,QB,Bal,3536.3,18.2,11.4,24.8,46,1.2,0,0,0,201.5,,151.0
Devontae Booker,RB,Den,0,0,0,94.9,367.5,2,44.7,372.1,1.3,138.2,137.0,153.0
